gr_et,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,3.671594759140677e-05,3.686901242299208e-05,3.7583859939745134e-05,3.234661870408686e-05,3.0242061681593297e-05,2.5956827653733902e-05,2.6480296775628565e-05,2.182916171119304e-05,2.307896803073903e-05,1.889122489770159e-05,1.6222702899217538e-05,1.4639952061641248e-05,1.3563665218768677e-05,1.2654391664868865e-05,1.3299404469145945e-05,1.1589235822349362e-05,1.160049235384565e-05,1.1103677176223206e-05,9.306417879939831e-06,9.311033627413186e-06,1.0580565196764913e-05,8.127028957263732e-06,9.484470417670046e-06,9.101916860005527e-06,8.688261436119812e-06,8.795883666278683e-06,6.79972860834334e-06,6.5045471744012534e-06,6.7317877319243714e-06,7.409920156580233e-06,6.1226398330754245e-06,5.359099510406415e-06,5.306320276199821e-06,5.953868420659426e-06,5.919309920884791e-06,5.638487344570114e-06,5.158346231262123e-06,5.040766679225856e-06,5.054389031806366e-06
2,1.1068621545924678e-05,1.0972848351891733e-05,1.1699585911854826e-05,1.0522490345841361e-05,8.579265264241762e-06,8.373791330169631e-06,8.392785356173124e-06,7.018888898024374e-06,7.020493018193139e-06,6.1772634582726975e-06,4.943901691327773e-06,4.38820243654016e-06,4.061887936150717e-06,4.290081423931522e-06,4.174560436974391e-06,3.835014852869014e-06,3.5197634921724435e-06,3.5806039436460025e-06,3.148256407850205e-06,3.0598059416286337e-06,3.1918639656546382e-06,2.7012783360466898e-06,2.845618515951779e-06,2.981433613623104e-06,2.56736151018172e-06,2.782498969843343e-06,2.3633515520102623e-06,2.1264257270480784e-06,2.12010466196594e-06,2.31686006777726e-06,1.9065129423895788e-06,1.6693713414241445e-06,1.5783174120793e-06,1.8046704738673384e-06,1.9498932439666267e-06,1.8710143120381434e-06,1.7444492994179415e-06,1.6479454966679319e-06,1.5913534653017241e-06
3,8.314735939346846e-06,8.080054323727415e-06,8.505198806690298e-06,8.000990451235923e-06,6.817040107424094e-06,5.802523952046304e-06,6.613521097947458e-06,5.433851210843995e-06,5.513851023814822e-06,4.589902463075608e-06,3.948770909017102e-06,3.2665504662176577e-06,2.9739320637487343e-06,3.138141461053165e-06,3.4569342705326354e-06,2.9403681866039195e-06,2.8449971703951696e-06,2.6536855044077642e-06,2.479794321174957e-06,2.528351997755631e-06,2.56210231336055e-06,1.9904943449622774e-06,2.3103102917091706e-06,2.1849667960119937e-06,2.0541654086280267e-06,2.008377113851336e-06,1.8261648115645188e-06,1.8052737750162126e-06,1.692959456280836e-06,1.7823081720188559e-06,1.4560696179186798e-06,1.2697262700907345e-06,1.2009131108883871e-06,1.3111576328553331e-06,1.4436623190518732e-06,1.505473000550852e-06,1.4139334129412895e-06,1.361277959824044e-06,1.2707760131251026e-06
4,1.8800347293602167e-05,1.9146180531446274e-05,1.97556952941383e-05,1.8347237249373975e-05,1.6350611943019455e-05,1.4543724559986443e-05,1.4455745607898895e-05,1.3506639721771362e-05,1.346503071479045e-05,1.1371135088109246e-05,9.25512347340649e-06,8.229897579355334e-06,6.983075012938587e-06,7.247505752656528e-06,7.976475763192095e-06,7.680597921347404e-06,6.8806497270445746e-06,6.765980699896522e-06,5.797246588315639e-06,6.281972741577102e-06,6.678102297372619e-06,5.039947225917618e-06,5.370007240896517e-06,5.5956613404993365e-06,4.74862698010844e-06,5.06881680548817e-06,4.157795910332366e-06,4.400151816656865e-06,4.533695613988389e-06,4.489365874402294e-06,3.5332802037460975e-06,3.058901083638072e-06,2.8812549162961547e-06,3.146915576753419e-06,3.3085336936648763e-06,3.5159339175671976e-06,3.5887050446714533e-06,3.4804096561819965e-06,3.311203890721724e-06
5,3.878072808293805e-05,3.8940014594193316e-05,4.21072363347649e-05,3.833320010321155e-05,3.3725429244519506e-05,3.137692307263456e-05,3.259085438220632e-05,2.655532487750961e-05,3.0105335493282244e-05,2.497771403900713e-05,2.062429581171909e-05,1.7350470603072084e-05,1.5825167497853022e-05,1.5307377144805658e-05,1.6570043618366642e-05,1.594085120818583e-05,1.616662314643892e-05,1.4718885111555049e-05,1.3295345448137776e-05,1.3209875056644798e-05,1.4924786540810521e-05,1.1816235488189594e-05,1.2230281746704707e-05,1.1699102086822483e-05,1.093883788914557e-05,1.0539882986090354e-05,9.43889270148805e-06,9.01129917420455e-06,9.939705027959178e-06,1.0814024571777498e-05,8.005285635760216e-06,6.676639434634174e-06,6.2435782902749575e-06,6.79128160973744e-06,7.142698132376663e-06,7.24781658287973e-06,7.538796975153221e-06,7.945765108766568e-06,7.614931927721637e-06
6,5.633763588526011e-05,5.7559984170380495e-05,6.136845187976269e-05,5.854825617263792e-05,5.049360224491531e-05,4.637760281941093e-05,5.038542511966028e-05,4.290237525890594e-05,4.2415270800521404e-05,4.001872810405085e-05,3.246403282088408e-05,2.7706562064216318e-05,2.390779994739934e-05,2.4858611096507888e-05,2.507900689356226e-05,2.3730045953118892e-05,2.4044196128148575e-05,2.4782165319855063e-05,2.072613182734182e-05,2.1709560507507336e-05,2.2489782748147126e-05,1.8923813876110567e-05,2.0547740860360786e-05,1.909363387782841e-05,1.6388785229959047e-05,1.7398563370248037e-05,1.406451344274743e-05,1.465952030330674e-05,1.4587058116498953e-05,1.6989592370626316e-05,1.38182693240463e-05,1.0840046495995625e-05,9.765635743306139e-06,1.0545764940956436e-05,1.1045958644468935e-05,1.1212653411348032e-05,1.1136353480669299e-05,1.1961192345193232e-05,1.2457929024105125e-05
7,8.357723730257612e-05,8.088105562166549e-05,8.77431473142403e-05,8.253646778426676e-05,7.459654747315431e-05,6.716308718307625e-05,7.203546368233749e-05,6.41555161667029e-05,6.628197601476121e-05,5.453628356444138e-05,5.0310258167213286e-05,4.218416574530737e-05,3.692788880046225e-05,3.6325503493048905e-05,3.93939833618647e-05,3.473991465863362e-05,3.462109644495378e-05,3.565116134740535e-05,3.375406445261721e-05,3.273506040351548e-05,3.5750413278438396e-05,2.758222421317274e-05,3.1830033460198e-05,3.1028422294600745e-05,2.5871779955024797e-05,2.521346026760892e-05,2.245669276007228e-05,2.1128414456904877e-05,2.2953216280825696e-05,2.4116854357509985e-05,2.0998716236472324e-05,1.809886957081298e-05,1.5336181079274473e-05,1.595469590655006e-05,1.6591026049762036e-05,1.6772314590193683e-05,1.6664323816076172e-05,1.709066332403559e-05,1.8139615989844246e-05
8,0.00010874458412703033,0.00010237942117629035,0.0001052000193660116,0.00010069093788049495,8.972781839829461e-05,8.466218834424155e-05,8.901130657709436e-05,7.826217237003956e-05,8.457160639774972e-05,7.271687530949408e-05,5.849991969868334e-05,5.5780192448375085e-05,4.797309856558794e-05,4.787435934135022e-05,4.9118053311880565e-05,4.656126554258624e-05,4.3246150189252134e-05,4.380066498873426e-05,4.1432102618409496e-05,4.548806178815691e-05,4.5995955816096195e-05,3.741119298654763e-05,3.9585321651043414e-05,4.101183252017181e-05,3.587351052312619e-05,3.3961625069801185e-05,2.7767790640747344e-05,2.878488234418616e-05,2.822715860316938e-05,3.237971059614326e-05,2.543354589607949e-05,2.3467509834508355e-05,2.184811632768986e-05,2.137872023604922e-05,2.1417074912870803e-05,2.1495091511948992e-05,2.1269082904767306e-05,2.1821272562115517e-05,2.211510471339552e-05
9,0.00013221267951965283,0.00014033539973325992,0.00014028673878994818,0.00012718267002193338,0.00011532051053936129,0.00010728346988874104,0.00011820584612554093,0.00010187923126479568,0.00010868695352944256,9.774606480107349e-05,8.21750316702044e-05,6.83303543561128e-05,6.682873716466399e-05,6.552110405030991e-05,6.819733746616505e-05,6.116049132714145e-05,6.106303999166206e-05,5.7639775304582424e-05,5.362643622999974e-05,5.882247193878129e-05,6.733469144947851e-05,5.0707836285326105e-05,5.656416646574577e-05,5.3733013633656855e-05,4.9952623289808335e-05,4.96101994500986e-05,3.940327123197297e-05,3.7496862329958926e-05,4.051348986843201e-05,4.194995680417192e-05,3.5974449399418284e-05,2.9944434596268813e-05,2.9844513125582044e-05,3.208584021753269e-05,3.0233489069209657e-05,2.923217632077336e-05,2.871640061638612e-05,2.9341079125967117e-05,2.9747131666565175e-05
10,0.00016351916064326057,0.00016110030223835987,0.000181566128977086,0.00016013725753606368,0.00013753326631948216,0.00013018948473323972,0.00014143142805164423,0.00012774475808595068,0.00013359026926066243,0.00011860848719572949,0.00010429598792879396,9.062790317320053e-05,7.729663145400527e-05,8.618076400815565e-05,8.812706363931499e-05,8.017904659067307e-05,7.573354046094061e-05,7.684522691933537e-05,6.663220122032845e-05,7.188675554175364e-05,8.22144890716553e-05,7.009030577045591e-05,7.238999766848717e-05,7.249566887605279e-05,6.179509053396303e-05,6.522574438678713e-05,5.434735805322098e-05,5.023998823280269e-05,4.9830331203463366e-05,5.6849632117956635e-05,4.400645245482731e-05,3.999143691323402e-05,3.595648716165456e-05,4.1383532961199275e-05,4.2843370605568996e-05,3.8963046975880704e-05,3.687359688093154e-05,3.74042517001974e-05,3.776632735074576e-05
11,0.00022434446408959026,0.00022158287408575314,0.00023179723301328762,0.0002304914900603728,0.00019258235785774502,0.00017267179467103734,0.00019086808533773342,0.00016997864094003072,0.00018628442599896133,0.00016212779268934459,0.00014074351100824137,0.0001279186737251409,0.00011401267120552012,0.00011085414768939735,0.00012890884782442355,0.00011522509158518924,0.0001104135760818139,0.00010599149788203506,9.879229459278727e-05,9.933410904653375e-05,0.0001117373244269752,9.517255669239569e-05,0.00011127708273881227,0.00010317952541795293,9.271908328147578e-05,8.973440975006506e-05,7.946406942057343e-05,7.706194774110982e-05,7.424935210061712e-05,7.776175810823753e-05,6.632187476180606e-05,5.4404335068685135e-05,5.3403834497924745e-05,5.5447837817346146e-05,6.145285611351555e-05,6.140342089397036e-05,5.4657726081871834e-05,5.341346653922455e-05,5.3541919311648245e-05
12,0.0002747865388400015,0.0002628797176823519,0.00027569079372689843,0.00025445001969992125,0.00023969180662942685,0.00020907606877879924,0.000218903644447637,0.0001983608329503471,0.00021433939107880375,0.00019549397310304962,0.00016635821983318122,0.00014926875372455684,0.00013915516069531826,0.00014138999541762662,0.00014338328112812113,0.00014574533715125843,0.00013720907313551097,0.00013362244864515037,0.00011782878116065821,0.00012735367836195813,0.00013351251164502663,0.00011184995720635891,0.00013065730426953137,0.00013714970419088546,0.00011411028082802725,0.00011642556308362062,9.453332826307395e-05,9.743310141467818e-05,9.848210011458625e-05,0.00010019340726533746,7.844574408832528e-05,7.090030795654391e-05,6.28221968793943e-05,7.12121308711338e-05,7.119890326621236e-05,7.61596937462959e-05,7.448441226105067e-05,6.846380013743524e-05,6.611468139428549e-05
13,0.00031521480237295087,0.00036805692467731715,0.0003738703023089568,0.0003459348550445387,0.00030246741803147435,0.0002974533275333671,0.00030297983977564067,0.0002600479384745156,0.0002859179229548441,0.0002571204589270535,0.00022929679498057178,0.00020167989535746454,0.00018561458254097945,0.00019726166458763135,0.00020904657884477214,0.0001853054846764589,0.00019838473639995424,0.00018980934803280333,0.000169799965818827,0.0001736271444717869,0.00019566487745627348,0.00015276973920680815,0.00017552363182455824,0.00018407747739095602,0.0001733819728592665,0.00016378789787965752,0.00014020131980985157,0.00013249469520248768,0.00014233170881272964,0.00015190833221091605,0.00011553678505200027,9.586024421493744e-05,9.358485057471651e-05,9.57574288335731e-05,0.00010452507468934025,0.00010086354722813387,0.00010560289739173386,0.00010664798481784804,9.686925574035082e-05
14,0.0003817236613856281,0.00042054697654404983,0.0005213954713332947,0.0004672845259351836,0.0004095989215258306,0.0003738803271863987,0.0004293550841419324,0.0003585110343385244,0.0003733595328057108,0.00034163660266756975,0.000300392868554982,0.0002768883603292642,0.0002498009960141935,0.0002620860114464256,0.0002905062296531535,0.0002691046461934797,0.00025124083697308655,0.0002733577516654908,0.0002402504125876298,0.00024922534632334684,0.0002657096803835694,0.00022300603636037468,0.00023879513997372692,0.0002463150391866885,0.0002317918124779831,0.0002478844862189253,0.00019645990792475327,0.0001957284766897673,0.00019278888838196613,0.00021868265102710122,0.00017448218880976904,0.00014062994117347718,0.00012603301711567466,0.00014208665176694525,0.00013999978020760436,0.00014749245092595295,0.00013930710106605486,0.00015060918713565675,0.0001503024249569801
15,0.0004819855533335098,0.0005045047487381664,0.0005901671648150708,0.0006455590167618961,0.0005480928647606553,0.0005015579119986889,0.0005346119455813095,0.0005032846347033037,0.0005098995426558134,0.0004419351293057392,0.0003953899663971452,0.0003593392024062599,0.00033973831156077037,0.00034940907505571784,0.00038235331873746734,0.00037046044811844597,0.00036143601065136523,0.00034294275847184625,0.0003427568987851797,0.00034932286876510884,0.0003778245977400459,0.00029999870964798946,0.0003453130817902825,0.00033196254286775204,0.0003072533543023956,0.0003282855482889422,0.00029454370186546183,0.0002716965454714385,0.00028212774076991304,0.00029342893142177124,0.0002488239048549252,0.00021038602265836833,0.00018316051806734472,0.00018955721891120942,0.00020578628358111474,0.00019569734155003255,0.00020179810140128802,0.0001968145273728005,0.0002102679423074162
16,0.0005392483476952178,0.000589351997429249,0.0006550136452063776,0.0006760336295044329,0.0007005405210120052,0.0006209276371506129,0.0006635164449619581,0.0005797760634255533,0.0006622475005758988,0.0005583936408698213,0.0004731995637487544,0.0004375877810683813,0.00040791435128282054,0.0004396520473036169,0.00047160648021133555,0.00045110311168107726,0.00046033779445249214,0.00045644387770134596,0.0003978331867887751,0.0004610771940736422,0.0004899475603211049,0.0003946633511966034,0.000429774219508095,0.00044412087963134936,0.0003831063470343355,0.0004026010164397397,0.00036089155457060104,0.00037686385134477193,0.00036232679503970405,0.0003972750444078942,0.00030889100675865515,0.0002775763399069892,0.00025351024351104225,0.0002548663031199596,0.00025399667587589614,0.0002661328943016345,0.0002477175467390515,0.00026377008156907916,0.0002542162526993488
17,0.000622201293202279,0.0006090489804743857,0.0007067771616121227,0.0006930527064716027,0.000677623203793887,0.0007330654682025668,0.0007587422267748088,0.0006646545354579001,0.0007046761880889227,0.0006698828018813156,0.0005522667966640688,0.0004837339144963599,0.00045883044899426416,0.0004875916050256523,0.0005481221369313051,0.0005139411377726973,0.00051776568802387,0.0005369764726212491,0.0004890907137149554,0.0004943233260760046,0.0005973362646763791,0.0004727252813754693,0.0005222403595698695,0.0005105651636107338,0.00047342819056929745,0.0004636820034359144,0.00040881091266774743,0.0004265148132424621,0.0004642196041466646,0.00047126870946857243,0.00038629249969174967,0.000318286535271887,0.0003089468225019073,0.00032583574634441326,0.0003154443717502178,0.0003034120500892773,0.0003111666615001291,0.0002990803546796829,0.0003146982686478547
